"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"051033","San Giovanni Valdarno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",16823,"p","dato provvisorio"
"070067","San Giuliano del Sannio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",985,"p","dato provvisorio"
"070068","San Giuliano di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",546,"p","dato provvisorio"
"050031","San Giuliano Terme","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",15152,"p","dato provvisorio"
"082064","San Giuseppe Jato","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",4203,"p","dato provvisorio"
"082064","San Giuseppe Jato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",8554,"p","dato provvisorio"
"054044","San Giustino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5767,"p","dato provvisorio"
"054044","San Giustino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",11227,"p","dato provvisorio"
"001246","San Giusto Canavese","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1734,"p","dato provvisorio"
"001246","San Giusto Canavese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3355,"p","dato provvisorio"
"048039","San Godenzo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",549,"p","dato provvisorio"
"058095","San Gregorio da Sassola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1559,"p","dato provvisorio"
"087042","San Gregorio di Catania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",11811,"p","dato provvisorio"
"102034","San Gregorio d'Ippona","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1302,"p","dato provvisorio"
"065120","San Gregorio Magno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2032,"p","dato provvisorio"
"065120","San Gregorio Magno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2142,"p","dato provvisorio"
"061076","San Gregorio Matese","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",462,"p","dato provvisorio"
"061076","San Gregorio Matese","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",473,"p","dato provvisorio"
"061076","San Gregorio Matese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",935,"p","dato provvisorio"
"025045","San Gregorio nelle Alpi","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",792,"p","dato provvisorio"
"025045","San Gregorio nelle Alpi","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",805,"p","dato provvisorio"
"025045","San Gregorio nelle Alpi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1597,"p","dato provvisorio"
"037054","San Lazzaro di Savena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",32518,"p","dato provvisorio"
"099025","San Leo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1469,"p","dato provvisorio"
"099025","San Leo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2902,"p","dato provvisorio"
"030102","San Leonardo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",561,"p","dato provvisorio"
"030102","San Leonardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1082,"p","dato provvisorio"
"021080","San Leonardo in Passiria/St. Leonhard in Passeier","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1820,"p","dato provvisorio"
"021080","San Leonardo in Passiria/St. Leonhard in Passeier","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1738,"p","dato provvisorio"
"021080","San Leonardo in Passiria/St. Leonhard in Passeier","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3558,"p","dato provvisorio"
"062060","San Leucio del Sannio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1533,"p","dato provvisorio"
"062060","San Leucio del Sannio","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1550,"p","dato provvisorio"
"062060","San Leucio del Sannio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3083,"p","dato provvisorio"
"062061","San Lorenzello","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1091,"p","dato provvisorio"
"062061","San Lorenzello","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1100,"p","dato provvisorio"
"062061","San Lorenzello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2191,"p","dato provvisorio"
"080073","San Lorenzo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1269,"p","dato provvisorio"
"080073","San Lorenzo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1277,"p","dato provvisorio"
"080073","San Lorenzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2546,"p","dato provvisorio"
"008054","San Lorenzo al Mare","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",603,"p","dato provvisorio"
"008054","San Lorenzo al Mare","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",666,"p","dato provvisorio"
"008054","San Lorenzo al Mare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1269,"p","dato provvisorio"
"078120","San Lorenzo Bellizzi","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",289,"p","dato provvisorio"
"078120","San Lorenzo Bellizzi","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",299,"p","dato provvisorio"
"078120","San Lorenzo Bellizzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",588,"p","dato provvisorio"
"078121","San Lorenzo del Vallo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1662,"p","dato provvisorio"
"078121","San Lorenzo del Vallo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1644,"p","dato provvisorio"
"078121","San Lorenzo del Vallo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3306,"p","dato provvisorio"
"021081","San Lorenzo di Sebato/St. Lorenzen","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1947,"p","dato provvisorio"
"021081","San Lorenzo di Sebato/St. Lorenzen","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1938,"p","dato provvisorio"
"021081","San Lorenzo di Sebato/St. Lorenzen","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3885,"p","dato provvisorio"
